City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tuatapere,NZ,-46.1333,167.6833,50.83,70,22,5.01,few clouds
80,Lorengau,PG,-2.0226,147.2712,85.78,68,28,9.17,scattered clouds
81,Benjamin Constant,BR,-4.3831,-70.0311,77.13,55,99,3.36,overcast clouds
82,Tibu,CO,8.639,-72.7358,76.98,80,17,1.34,few clouds
83,Alugan,PH,12.2188,125.4808,87.42,60,99,5.14,overcast clouds
84,Tomatlan,MX,19.9333,-105.25,77.11,94,100,1.5,overcast clouds
85,Wukari,NG,7.85,9.7833,71.94,97,100,4.47,overcast clouds
86,Bluff,NZ,-46.6,168.3333,50.81,70,43,13.58,scattered clouds
87,Hamilton,US,39.1834,-84.5333,78.78,69,1,0.0,clear sky
88,Port Stanley,FK,-51.7,-57.85,48.49,63,87,28.45,overcast clouds
89,Torbay,CA,47.6666,-52.7314,67.57,68,75,16.11,broken clouds
90,Port Hardy,CA,50.6996,-127.4199,62.78,67,40,14.97,scattered clouds
91,Manggar,ID,-2.8833,108.2667,83.59,77,100,12.08,overcast clouds
92,Albany,US,42.6001,-73.9662,72.21,81,0,2.8,clear sky
93,Chuy,UY,-33.6971,-53.4616,56.64,94,60,10.36,broken clouds
94,Vila Velha,BR,-20.3297,-40.2925,62.55,100,20,0.0,few clouds
95,Yellowknife,CA,62.456,-114.3525,63.28,55,75,9.22,smoke
96,Atar,MR,20.5169,-13.0499,94.35,16,6,9.75,clear sky
97,Lebu,CL,-37.6167,-73.65,51.31,85,100,10.31,moderate rain
98,Ternate,ID,0.8,127.4,83.32,71,84,5.35,broken clouds
99,Ulaangom,MN,49.9811,92.0667,61.77,68,100,2.04,overcast clouds
100,Erdenet,MN,49.0333,104.0833,64.74,70,100,4.0,overcast clouds
101,Klaksvik,FO,62.2266,-6.589,54.52,95,100,7.02,overcast clouds
102,Airai,TL,-8.9266,125.4092,68.36,43,62,5.68,broken clouds
103,Grand Forks,US,47.9417,-97.4337,67.93,81,1,9.22,smoke
104,Havre,FR,49.5833,0.3333,61.57,88,75,19.57,broken clouds
105,Yulara,AU,-25.2406,130.9889,57.04,44,0,16.11,clear sky
106,Kaeo,NZ,-35.1,173.7833,61.32,78,77,13.96,broken clouds
107,Asau,RO,46.4333,26.4,64.4,94,100,5.59,light rain
108,Dingle,PH,10.9995,122.6711,86.18,66,98,13.06,light rain
109,Port Antonio,JM,18.18,-76.4612,84.11,79,11,7.72,few clouds
110,Avarua,CK,-21.2078,-159.775,77.05,61,75,4.61,broken clouds
111,Sola,VU,-13.8833,167.55,78.33,72,0,1.45,clear sky
112,Kampot,KH,10.6167,104.1833,78.85,74,100,9.55,overcast clouds
113,Pangnirtung,CA,66.1451,-65.7125,40.91,97,100,8.5,light rain
114,Patiya,BD,22.2931,91.9762,80.55,100,75,0.0,broken clouds
115,Kandrian,PG,-6.2167,149.55,80.38,79,86,16.33,light rain
116,New Norfolk,AU,-42.7826,147.0587,59.72,58,86,10.0,moderate rain
117,Atbasar,KZ,51.8,68.3333,67.69,62,97,3.87,overcast clouds
118,Cidreira,BR,-30.1811,-50.2056,61.11,91,100,17.69,overcast clouds
119,Oparino,RU,59.8518,48.2783,46.71,84,16,2.21,few clouds
120,Goundam,ML,16.4145,-3.6708,81.5,56,100,10.04,overcast clouds
121,Saskylakh,RU,71.9167,114.0833,58.78,43,10,11.3,clear sky
122,Waipawa,NZ,-41.4122,175.5153,53.46,72,99,2.57,overcast clouds
123,Karlskoga,SE,59.3267,14.5239,55.31,94,38,3.74,scattered clouds
124,Fukue,JP,32.6881,128.8419,86.36,79,20,8.05,few clouds
125,Nanakuli,US,21.3906,-158.1547,87.75,51,75,10.36,broken clouds
126,Nizhniy Tsasuchey,RU,50.5167,115.1333,72.36,49,4,10.16,clear sky
127,Pareora,NZ,-44.4871,171.2132,53.19,75,21,5.12,few clouds
128,Kavieng,PG,-2.5744,150.7967,82.83,75,85,10.38,light rain
129,La Rioja,ES,42.25,-2.5,60.58,97,9,2.37,clear sky
130,Puerto Ayacucho,VE,5.6639,-67.6236,73.15,92,80,1.01,heavy intensity rain
131,Kutum,SD,14.2,24.6667,75.51,62,63,13.27,broken clouds
132,Esperance,AU,-33.8667,121.9,55.24,63,0,12.64,clear sky
133,Brawley,US,32.9787,-115.5303,116.1,29,40,20.71,scattered clouds
